task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,34,0.22775428,1,"[17.489904403686523, 11.963184356689453, 8.703405380249023, 19.433870315551758, 13.82213306427002]","[-2.4981775283813477, 16.837955474853516, 33.971439361572266, 9.194925308227539, -0.8809547424316406]",2,"[13.566522598266602, 17.434362411499023]","[-0.8933306932449341, 1.392165184020996]",-0.8560729,-1.983855,correct,True,-4.2803645,-3.96771,intuitive,False,-0.03459994,-3.9579706,correct,True,0.85992163,3429,"[0.6783076524734497, 8.248047828674316, 7.1819868087768555, 19.134584426879883, 12.943902969360352]","[4.099093437194824, 7.715104103088379, 25.397178649902344, 8.848381042480469, 0.8731144666671753]",6415,"[-0.025041725486516953, 16.250104904174805]","[0.3932790458202362, 1.25980544090271]",-5.3729243,-7.6534157,correct,True,-26.864622,-15.306831,intuitive,False,-14.364554,-15.067901,correct,True,The capital
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,35,0.46695292,1,"[16.588525772094727, 14.360891342163086, 15.489795684814453, 20.825963973999023, 13.287835121154785]","[14.234366416931152, 3.80000638961792, 2.2955398559570312, 9.162747383117676, 24.957115173339844]",2,"[13.043230056762695, 17.342531204223633]","[3.020630121231079, 6.39983606338501]",-0.07652648,-1.8158317,correct,True,-0.3826324,-3.6316633,correct,True,-0.07733508,-3.6226237,correct,True,0.7990644,2023,"[1.2233364582061768, 9.392349243164062, 11.913055419921875, 20.40142059326172, 12.835430145263672]","[1.6256064176559448, 5.061361789703369, 6.105529308319092, 8.747932434082031, 26.39080810546875]",5906,"[0.029140610247850418, 16.131994247436523]","[1.808755874633789, 6.791672229766846]",-4.13461,-7.7279315,correct,True,-20.67305,-15.455863,intuitive,False,-13.957815,-15.152008,correct,True,The capital
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,36,0.16981803,1,"[18.197343826293945, 14.575984001159668, 15.362876892089844, 21.858957290649414, 19.219820022583008]","[-1.8287667036056519, 9.137950897216797, 11.734109878540039, 6.679894924163818, 2.299856662750244]",4,"[12.72915267944336, 17.80585289001465]","[-0.5729052424430847, 3.067363977432251]",-0.024432087,-2.748366,correct,True,-0.122160435,-5.496732,correct,True,-0.022647193,-5.4908423,correct,True,1.3316357,1625,"[1.42881178855896, 10.070296287536621, 12.655325889587402, 21.307706832885742, 18.944597244262695]","[2.9677772521972656, 5.395920276641846, 10.086820602416992, 5.537737846374512, 2.8360648155212402]",4324,"[0.3064456582069397, 16.77439308166504]","[1.0851062536239624, 2.6758456230163574]",-3.7389095,-7.172247,correct,True,-18.694548,-14.344494,intuitive,False,-13.057384,-14.17975,correct,True,The capital
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,37,1.0165213,1,"[16.500242233276367, 16.195594787597656, 17.335203170776367, 22.475900650024414, 18.79761505126953]","[1.7991373538970947, 8.658515930175781, 13.840693473815918, 9.508153915405273, 6.614878177642822]",8,"[11.693246841430664, 17.939165115356445]","[5.290673732757568, 2.732196807861328]",-0.045536287,-2.5103421,correct,True,-0.22768143,-5.0206842,correct,True,-0.20984058,-5.016837,correct,True,1.3600224,1222,"[1.8805701732635498, 10.780281066894531, 14.150593757629395, 21.59527015686035, 18.78709602355957]","[5.3302178382873535, 9.595942497253418, 13.09060287475586, 9.114532470703125, 3.284435510635376]",3615,"[0.4808707535266876, 16.57719612121582]","[4.263556003570557, 0.9041314125061035]",-3.1285625,-7.1890388,correct,True,-15.642813,-14.3780775,intuitive,False,-12.82927,-14.228968,correct,True,The capital
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,38,2.7182913,1,"[15.672520637512207, 18.358125686645508, 19.687767028808594, 23.434444427490234, 19.61589241027832]","[7.719473361968994, 10.193000793457031, 7.612143039703369, 10.15503978729248, 11.712404251098633]",11,"[12.229886054992676, 18.55961799621582]","[8.361616134643555, 8.502150535583496]",-0.22116072,-2.273715,correct,True,-1.1058036,-4.54743,correct,True,-1.1036488,-4.5462866,correct,True,1.5305114,830,"[3.0677528381347656, 12.611773490905762, 16.295251846313477, 22.379356384277344, 18.529571533203125]","[3.918905258178711, 9.209773063659668, 6.073799133300781, 9.568958282470703, 11.657108306884766]",2474,"[1.4967403411865234, 16.439273834228516]","[5.121945858001709, 4.589792728424072]",-2.6053119,-6.8584843,correct,True,-13.02656,-13.716969,correct,True,-12.041435,-13.612442,correct,True,The capital
capitals-recall,11,country,United Arab Emirates,Abu Dhabi,Dubai,,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,The capital of the United Arab Emirates is,39,3.560454,1,"[15.787578582763672, 20.73263931274414, 19.502094268798828, 22.927490234375, 20.765602111816406]",,9,"[13.514676094055176, 20.9123592376709]",,-0.27671546,-1.8232305,correct,True,-1.3835773,-3.646461,correct,True,-1.3722332,-3.645135,correct,True,2.621977,866,"[4.721728801727295, 16.098102569580078, 17.162633895874023, 21.917362213134766, 20.100074768066406]",,1557,"[3.9113237857818604, 16.997493743896484]",,-2.3220356,-6.0384703,correct,True,-11.610178,-12.076941,correct,True,-10.836213,-11.646618,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,0,6.625841,20051,"[-0.6361134648323059, 7.943016529083252, 9.485008239746094]","[2.004456043243408, 3.7243669033050537, 0.9357513189315796]",1915,"[1.49910569190979, 4.6784234046936035]","[0.4154753088951111, 0.06622005999088287]",-5.7944965,-8.096648,correct,True,-17.38349,-16.193296,intuitive,False,-11.924105,-9.788887,intuitive,False,8.823871,27199,"[-1.1426888704299927, 8.116353034973145, 9.561310768127441]","[0.6117169260978699, 4.340641021728516, 1.0825526714324951]",12163,"[0.7715000510215759, 4.649188041687012]","[1.408846378326416, 1.0795334577560425]",-6.194721,-8.907174,correct,True,-18.584164,-17.814348,intuitive,False,-13.037932,-11.123743,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,1,5.7623806,6439,"[0.5295849442481995, 7.229403018951416, 6.764193058013916]","[2.483726978302002, 2.2472429275512695, -0.032548073679208755]",2305,"[1.3441036939620972, 3.5803403854370117]","[1.635564923286438, -0.08724043518304825]",-6.4079566,-8.692799,correct,True,-19.22387,-17.385597,intuitive,False,-10.856702,-10.042181,intuitive,False,8.450949,18588,"[-0.36973556876182556, 7.921925067901611, 6.808898448944092]","[-0.20425835251808167, 4.470178604125977, 0.438206285238266]",5193,"[1.3100988864898682, 3.981154441833496]","[-2.07957124710083, 3.1759846210479736]",-6.6289425,-8.737385,correct,True,-19.886827,-17.47477,intuitive,False,-11.912338,-10.232504,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,2,9.092562,1270,"[1.697923183441162, 6.495018482208252, 4.491064071655273]","[-0.10578278452157974, -2.547807216644287, 2.8799233436584473]",1115,"[1.7739129066467285, 2.6913743019104004]","[-1.832340121269226, -1.8230868577957153]",-7.0340505,-8.783035,correct,True,-21.102152,-17.56607,intuitive,False,-9.12117,-9.04518,intuitive,False,8.443717,23152,"[-0.35931164026260376, 8.210136413574219, 4.809307098388672]","[1.968126893043518, -2.5213608741760254, 1.3530977964401245]",21292,"[-0.11934234946966171, 4.613582134246826]","[-0.3720395267009735, -0.6639412045478821]",-7.683726,-9.833107,correct,True,-23.051178,-19.666214,intuitive,False,-12.473575,-12.233605,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,3,9.405423,6458,"[1.1610527038574219, 3.3338496685028076, 5.005240440368652]","[1.9492734670639038, 0.925295352935791, 4.409318923950195]",14648,"[0.24816907942295074, 0.9958391785621643]","[0.8717545866966248, -0.5574133992195129]",-7.960237,-10.446226,correct,True,-23.88071,-20.892452,intuitive,False,-10.180173,-11.093056,correct,True,8.994111,14365,"[0.7544386386871338, 4.014459609985352, 4.518397808074951]","[-2.3601186275482178, -0.32645532488822937, 3.9998788833618164]",23213,"[-0.27702227234840393, 2.6764168739318848]","[0.38764598965644836, 1.4301018714904785]",-8.513142,-10.679504,correct,True,-25.539425,-21.359009,intuitive,False,-11.336065,-12.367527,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,4,9.191874,1739,"[2.0356218814849854, 3.1655619144439697, 6.007589817047119]","[1.6782726049423218, -0.5686947107315063, -1.426806926727295]",8163,"[0.7047249674797058, 0.49121952056884766]","[0.34230634570121765, 2.7330167293548584]",-7.4143033,-10.536551,correct,True,-22.24291,-21.073103,intuitive,False,-9.173422,-10.504319,correct,True,8.756826,23749,"[-0.45825818181037903, 3.2178754806518555, 5.503777027130127]","[-1.3737224340438843, -0.11729562282562256, -1.4909645318984985]",20523,"[-0.046651680022478104, 3.071183919906616]","[-1.206488847732544, 1.0435148477554321]",-8.953271,-10.290524,correct,True,-26.859812,-20.581047,intuitive,False,-12.432287,-12.02068,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,5,8.989173,906,"[2.539440631866455, 2.492549180984497, 4.500345230102539]","[1.5136758089065552, 5.043217182159424, 0.1074073314666748]",7099,"[0.7228221297264099, 1.8253326416015625]","[0.18878288567066193, 0.7946151494979858]",-7.9879456,-9.8107605,correct,True,-23.963837,-19.621521,intuitive,False,-8.675217,-10.491835,correct,True,8.708358,26731,"[-0.9777899384498596, 2.472435474395752, 3.992037057876587]","[0.3196295201778412, 0.7958660125732422, 0.5447333455085754]",24131,"[-0.5591910481452942, 3.0952329635620117]","[-2.5381875038146973, 0.45925426483154297]",-10.17245,-10.597997,correct,True,-30.51735,-21.195993,intuitive,False,-12.989996,-12.571396,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,6,8.821702,488,"[3.034280776977539, 4.390091419219971, 4.051064968109131]","[-3.464980363845825, -2.163984537124634, 1.8979241847991943]",7592,"[0.7363399267196655, 1.9650002717971802]","[1.5065667629241943, 0.5452138781547546]",-7.361303,-9.839417,correct,True,-22.083908,-19.678835,intuitive,False,-8.279488,-10.577429,correct,True,8.24922,25871,"[-0.6357969045639038, 2.5538504123687744, 3.714977741241455]","[1.0707159042358398, -2.1952614784240723, 2.023905038833618]",29786,"[-1.5711033344268799, 2.8839058876037598]","[-0.6177087426185608, 2.771305799484253]",-10.178001,-11.426088,correct,True,-30.534004,-22.852177,intuitive,False,-13.034342,-13.969648,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,7,8.710957,5301,"[1.0341665744781494, 2.9041125774383545, 4.329258441925049]","[0.14825522899627686, 0.5348279476165771, 0.7276077270507812]",3695,"[1.4025909900665283, 1.9688193798065186]","[0.8586812615394592, -1.800045132637024]",-8.57128,-9.401317,correct,True,-25.713839,-18.802633,intuitive,False,-10.265551,-9.897127,intuitive,False,8.592886,22548,"[-0.1163368672132492, 1.2659913301467896, 4.086206912994385]","[0.07917220145463943, 0.2759370803833008, 0.24401646852493286]",30089,"[-1.618398666381836, 3.744994878768921]","[1.67384672164917, -1.730399489402771]",-10.513782,-11.124995,correct,True,-31.541344,-22.24999,intuitive,False,-12.431567,-13.933629,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,8,8.774333,4152,"[0.9649009704589844, 2.8179967403411865, 3.9852054119110107]","[0.17716114223003387, -0.2685626447200775, -0.2838745713233948]",1904,"[1.6482762098312378, 0.7632519006729126]","[-2.0501132011413574, 0.5057997107505798]",-8.370059,-9.701069,correct,True,-25.110178,-19.402138,intuitive,False,-9.98969,-9.306315,intuitive,False,8.913144,19145,"[-0.07308071851730347, 1.2475764751434326, 3.7591474056243896]","[1.651689052581787, 1.412413239479065, 0.3004930019378662]",24952,"[-0.8040364980697632, 2.7788851261138916]","[-1.9235036373138428, 0.20427866280078888]",-10.328359,-11.045506,correct,True,-30.985077,-22.091011,intuitive,False,-11.8681755,-12.599131,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,9,9.066484,6238,"[0.9570273756980896, 2.471707582473755, 3.445939779281616]","[0.1922496259212494, 2.624464988708496, -2.536282777786255]",8917,"[0.5523112416267395, 0.9286403656005859]","[1.079651951789856, -0.7193886041641235]",-9.1889925,-10.253798,correct,True,-27.566978,-20.507595,intuitive,False,-10.296896,-10.701612,correct,True,8.826144,14893,"[0.5074748396873474, 1.7405961751937866, 3.474543809890747]","[0.23689238727092743, 1.2147823572158813, -1.7994672060012817]",28729,"[-1.3832422494888306, 2.655686378479004]","[1.7162576913833618, 0.33554577827453613]",-10.22721,-11.454117,correct,True,-30.681631,-22.908234,intuitive,False,-11.410156,-13.300875,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,10,9.060422,5030,"[0.962469220161438, 3.56984281539917, 2.366358995437622]","[-0.9191402196884155, -1.0858972072601318, 3.1020967960357666]",4803,"[1.0038551092147827, 0.4561109244823456]","[0.03847530111670494, 0.5117241144180298]",-9.216661,-10.296181,correct,True,-27.649984,-20.592361,intuitive,False,-10.081703,-10.040318,intuitive,False,8.496716,11106,"[0.5475798845291138, 2.147775173187256, 2.475339651107788]","[0.9537367224693298, 0.90623539686203, 1.4782651662826538]",22241,"[-0.6822727918624878, 2.611117124557495]","[-0.9382832050323486, 1.0748789310455322]",-10.140024,-10.907267,correct,True,-30.420073,-21.814533,intuitive,False,-11.04531,-12.275163,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,11,9.027454,7998,"[0.5504859089851379, 2.542804479598999, 3.3782334327697754]","[-0.61262047290802, 0.17559607326984406, 0.9735017418861389]",5336,"[0.9859170317649841, 0.6586424708366394]","[0.05234690010547638, 1.9301806688308716]",-9.413382,-10.390753,correct,True,-28.240145,-20.781506,intuitive,False,-10.594969,-10.159538,intuitive,False,8.677572,10472,"[0.8244120478630066, 2.3175995349884033, 2.9086709022521973]","[-0.6957839727401733, 2.909125566482544, 1.0935349464416504]",25597,"[-0.9458845853805542, 2.8371574878692627]","[-0.3956747055053711, 1.04684579372406]",-9.919556,-11.050303,correct,True,-29.758667,-22.100607,intuitive,False,-10.939959,-12.710255,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,12,8.865155,8567,"[0.27964121103286743, 2.431455135345459, 3.5120203495025635]","[-1.6341309547424316, 3.7023696899414062, -1.7037832736968994]",4474,"[0.9592108726501465, 1.482911467552185]","[0.6805213093757629, 1.5435770750045776]",-9.301392,-9.804907,correct,True,-27.904175,-19.609814,intuitive,False,-10.715935,-10.0363655,intuitive,False,8.112896,13445,"[0.49452078342437744, 3.288076877593994, 3.144563674926758]","[-0.13191916048526764, 1.7792730331420898, -0.829662024974823]",25937,"[-0.9810154438018799, 2.9955649375915527]","[-0.4200778007507324, 1.6698050498962402]",-9.695725,-11.196033,correct,True,-29.087177,-22.392065,intuitive,False,-11.385232,-12.860768,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,13,8.062466,14597,"[-0.42133626341819763, 3.776928663253784, 2.7505722045898438]","[1.1875559091567993, 2.2369165420532227, 1.4506314992904663]",3798,"[1.1707606315612793, 2.0555529594421387]","[0.8162795305252075, 2.0218746662139893]",-9.348788,-9.563314,correct,True,-28.046366,-19.126629,intuitive,False,-11.623568,-10.03147,intuitive,False,8.418892,13832,"[0.4021623134613037, 3.7525405883789062, 2.687042713165283]","[0.8590492606163025, 5.12946081161499, 0.5200307369232178]",25934,"[-1.0348190069198608, 3.48128604888916]","[0.314841091632843, 0.8000482320785522]",-9.660622,-10.802134,correct,True,-28.981865,-21.604267,intuitive,False,-11.367221,-12.804202,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,14,8.328266,10402,"[0.15147514641284943, 4.358671188354492, 3.053091049194336]","[0.2826952636241913, 2.026207208633423, 1.5986742973327637]",3112,"[1.3938878774642944, 2.7214863300323486]","[1.7811285257339478, 1.9058104753494263]",-8.97495,-9.118229,correct,True,-26.924849,-18.236458,intuitive,False,-11.092033,-9.849621,intuitive,False,7.8743043,10706,"[0.636215090751648, 5.486808776855469, 2.6869850158691406]","[-2.339332103729248, 1.8475549221038818, 2.829092264175415]",24157,"[-0.8641875386238098, 3.4618308544158936]","[-0.4470391273498535, 1.0675691366195679]",-8.993975,-10.648445,correct,True,-26.981924,-21.29689,intuitive,False,-11.116217,-12.616619,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,15,7.650557,8195,"[0.250792533159256, 4.973705768585205, 3.3257365226745605]","[3.067352533340454, 6.155557632446289, -1.6552083492279053]",1228,"[1.9746061563491821, 3.3010997772216797]","[-1.5316965579986572, 3.731630325317383]",-8.488582,-8.579872,correct,True,-25.465746,-17.159744,intuitive,False,-10.994642,-9.270828,intuitive,False,7.7450776,20271,"[-0.1726793348789215, 6.106067180633545, 3.5720980167388916]","[1.489256501197815, 2.7712326049804688, 1.0996651649475098]",26128,"[-0.9452530741691589, 3.5155797004699707]","[-0.0847499668598175, 2.2888925075531006]",-8.777274,-10.819687,correct,True,-26.331821,-21.639374,intuitive,False,-12.196698,-12.969273,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,16,7.7073317,3165,"[1.5946582555770874, 7.131474494934082, 2.385148763656616]","[1.1158713102340698, 6.51701545715332, -0.531091570854187]",5224,"[1.1214011907577515, 4.584415912628174]","[0.8881289958953857, 1.4538755416870117]",-7.940941,-8.568462,correct,True,-23.822823,-17.136925,intuitive,False,-10.038489,-10.511747,correct,True,6.656251,14670,"[0.3928390145301819, 6.609198570251465, 3.7851057052612305]","[0.4498531222343445, 5.525857448577881, 0.5476894378662109]",25344,"[-0.883807897567749, 4.047911643981934]","[0.7586924433708191, 2.3652472496032715]",-8.542654,-10.636347,correct,True,-25.627962,-21.272694,intuitive,False,-11.82375,-13.100397,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,17,5.9042177,1823,"[1.8766860961914062, 9.022344589233398, 2.0794689655303955]","[-1.3812623023986816, 2.1323957443237305, 6.57511043548584]",3327,"[1.3599144220352173, 4.816370010375977]","[0.5067232251167297, 1.2148116827011108]",-7.281463,-8.551016,correct,True,-21.844389,-17.102032,intuitive,False,-10.068222,-10.584993,correct,True,3.9292703,12001,"[0.5247209668159485, 8.150062561035156, 3.656463623046875]","[-1.6180075407028198, 1.325847864151001, 4.7158427238464355]",20008,"[-0.3647638261318207, 4.5136566162109375]","[0.09357825666666031, 0.4379673898220062]",-8.265612,-11.377691,correct,True,-24.796835,-22.755383,intuitive,False,-12.4603,-13.349786,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,18,6.389192,2753,"[1.321136713027954, 8.961433410644531, 4.761789798736572]","[0.02102903462946415, 8.327088356018066, 3.276052236557007]",2359,"[1.45868980884552, 4.835488796234131]","[-0.40663763880729675, 11.419944763183594]",-6.487543,-8.195987,correct,True,-19.46263,-16.391973,intuitive,False,-10.375371,-10.237818,intuitive,False,4.026946,14575,"[0.058011364191770554, 8.072957038879395, 5.3178534507751465]","[-0.8943125009536743, 7.845974922180176, 3.6481668949127197]",17993,"[-0.3201921582221985, 4.405064105987549]","[0.9846222400665283, 9.925400733947754]",-7.878692,-11.010395,correct,True,-23.636076,-22.02079,intuitive,False,-12.757697,-13.1359005,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,19,5.5691295,3982,"[1.1741875410079956, 10.460289001464844, 5.425411224365234]","[1.395385503768921, 6.2614240646362305, 6.297705173492432]",4085,"[1.150884985923767, 7.961815357208252]","[-1.0517810583114624, 7.373435020446777]",-6.1920447,-7.1686373,correct,True,-18.576134,-14.337275,intuitive,False,-11.048316,-11.071618,correct,True,3.340972,16660,"[-0.20356199145317078, 9.750383377075195, 6.1262030601501465]","[1.9154975414276123, 2.981656789779663, 4.616687774658203]",14863,"[-0.007245454005897045, 7.514697551727295]","[-2.1849184036254883, 2.851224660873413]",-7.3967576,-9.561346,correct,True,-22.190273,-19.122692,intuitive,False,-13.346361,-13.150044,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,20,4.8971825,2451,"[1.4780781269073486, 11.18504524230957, 7.021229267120361]","[4.739084243774414, 5.61601448059082, 4.81331205368042]",5670,"[0.6865317225456238, 9.251404762268066]","[1.4688488245010376, 10.505570411682129]",-5.551859,-6.9298053,correct,True,-16.655577,-13.859611,intuitive,False,-10.915828,-11.707371,correct,True,2.3930984,11493,"[0.3675782382488251, 10.003254890441895, 7.06669282913208]","[-2.727654218673706, 5.814694404602051, 7.004640579223633]",20467,"[-0.6315023899078369, 7.748225212097168]","[-0.12950699031352997, 4.991521835327148]",-7.121042,-10.102442,correct,True,-21.363125,-20.204884,intuitive,False,-13.673471,-14.672552,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,21,5.411709,657,"[2.842726469039917, 11.538496017456055, 8.087712287902832]","[3.6130573749542236, 9.859708786010742, 1.2953482866287231]",3857,"[1.082725167274475, 11.46827220916748]","[2.100156307220459, 11.228856086730957]",-4.888784,-5.9484205,correct,True,-14.666351,-11.896841,intuitive,False,-9.472921,-11.232922,correct,True,2.342212,19316,"[-0.47038477659225464, 10.688237190246582, 8.64726734161377]","[0.8976204991340637, 8.616748809814453, 3.7512857913970947]",20352,"[-0.5949591398239136, 8.567161560058594]","[2.091287136077881, 6.831854343414307]",-6.9376616,-11.315352,correct,True,-20.812984,-22.630705,correct,True,-15.026744,-15.151319,correct,True,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,22,3.0495129,351,"[3.680072784423828, 13.53644847869873, 7.616763114929199]","[3.277808427810669, 7.568530559539795, 4.448431491851807]",2088,"[1.652928352355957, 13.892236709594727]","[-1.5633928775787354, 9.30631160736084]",-6.065155,-6.5545135,correct,True,-18.195465,-13.109027,intuitive,False,-9.849358,-11.876498,correct,True,1.7577032,13772,"[-0.14623957872390747, 12.215726852416992, 9.092608451843262]","[-0.6327558755874634, 3.9753522872924805, 6.461124420166016]",11517,"[0.09647942334413528, 9.66541862487793]","[-1.080731987953186, 10.475727081298828]",-6.34491,-10.016888,correct,True,-19.03473,-20.033775,correct,True,-14.745155,-14.502437,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,23,2.5353007,243,"[4.258843898773193, 14.588236808776855, 8.439723014831543]","[2.338989734649658, 5.95607328414917, 4.827432632446289]",4175,"[1.0847660303115845, 14.962099075317383]","[2.1026782989501953, 8.738895416259766]",-5.318537,-6.6734514,correct,True,-15.955612,-13.346903,intuitive,False,-9.808521,-12.982603,correct,True,1.6417124,16545,"[-0.2799417972564697, 12.10323715209961, 10.347166061401367]","[0.24290667474269867, 1.8604764938354492, 5.52522087097168]",15488,"[-0.16131289303302765, 11.821964263916016]","[0.8053585290908813, 4.5775275230407715]",-6.3032594,-9.385414,correct,True,-18.909779,-18.770828,intuitive,False,-15.053891,-14.935263,intuitive,False,The capital
capitals-recall,12,state,Alabama,Montgomery,Birmingham,,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,The capital of Alabama is,24,2.3954701,219,"[4.470813751220703, 14.809382438659668, 9.219802856445312]","[4.562058925628662, 7.8403401374816895, 7.08491849899292]",2694,"[1.5698065757751465, 15.826761245727539]","[0.4022217392921448, 9.92063045501709]",-5.3325024,-6.637176,correct,True,-15.997507,-13.274352,intuitive,False,-9.884947,-12.785954,correct,True,1.5138847,14940,"[-0.200740784406662, 11.401985168457031, 11.130067825317383]","[2.684701919555664, 5.212334156036377, 4.364387512207031]",12819,"[0.03784472495317459, 11.799026489257812]","[1.334861397743225, 6.899000644683838]",-6.6157856,-10.117647,correct,True,-19.847357,-20.235294,correct,True,-15.301256,-15.062671,intuitive,False,The capital
